kod,title,task_id,distractor_1,distractor_2,distractor_3,target,full_text,sentence_with_gap,sentence_with_answer
09B13D,Going on a hike,30,promoted,extended,presented,announced,"Simon and I were in a school football team. Occasionally, the team took field trips to places outside of our neighbourhood on the weekends. Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park. Simon is my best friend, and the two of us had both liked the trips to the museums, plays, and basketball games. We weren't all that interested in the outdoors. However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids. Simon and I were sure we'd rather be back home playing video games. Now we were in a state park, marching through woods as thick as a grizzly bear's fur. Our group of 12 kids had been hiking for a good 30 minutes when Simon and I grew bored and stepped away from the group to take some pictures. I looked around, shouting, ""Check out that tree — it's kinda cool. Doesn't its shape remind you of an elephant?"" ""Ha! It does,"" Simon replied. ""And look at how those rocks are formed over there. You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before. The more we opened up to the forest, the more it opened up to us. We were beginning to see the amazing things around us. Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be.","Last week, our coach Mr Brown 30 ______ we were going on a hike through a forest in a state park.","Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park."
09B13D,Going on a hike,31,delighted,inspired,excited,interested,"Simon and I were in a school football team. Occasionally, the team took field trips to places outside of our neighbourhood on the weekends. Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park. Simon is my best friend, and the two of us had both liked the trips to the museums, plays, and basketball games. We weren't all that interested in the outdoors. However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids. Simon and I were sure we'd rather be back home playing video games. Now we were in a state park, marching through woods as thick as a grizzly bear's fur. Our group of 12 kids had been hiking for a good 30 minutes when Simon and I grew bored and stepped away from the group to take some pictures. I looked around, shouting, ""Check out that tree — it's kinda cool. Doesn't its shape remind you of an elephant?"" ""Ha! It does,"" Simon replied. ""And look at how those rocks are formed over there. You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before. The more we opened up to the forest, the more it opened up to us. We were beginning to see the amazing things around us. Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be.",We weren't all that 31 ______ in the outdoors.,We weren't all that interested in the outdoors.
09B13D,Going on a hike,32,Moreover,Although,Otherwise,However,"Simon and I were in a school football team. Occasionally, the team took field trips to places outside of our neighbourhood on the weekends. Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park. Simon is my best friend, and the two of us had both liked the trips to the museums, plays, and basketball games. We weren't all that interested in the outdoors. However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids. Simon and I were sure we'd rather be back home playing video games. Now we were in a state park, marching through woods as thick as a grizzly bear's fur. Our group of 12 kids had been hiking for a good 30 minutes when Simon and I grew bored and stepped away from the group to take some pictures. I looked around, shouting, ""Check out that tree — it's kinda cool. Doesn't its shape remind you of an elephant?"" ""Ha! It does,"" Simon replied. ""And look at how those rocks are formed over there. You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before. The more we opened up to the forest, the more it opened up to us. We were beginning to see the amazing things around us. Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be.","32 ______, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids.","However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids."
09B13D,Going on a hike,33,heavy,strong,rich,thick,"Simon and I were in a school football team. Occasionally, the team took field trips to places outside of our neighbourhood on the weekends. Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park. Simon is my best friend, and the two of us had both liked the trips to the museums, plays, and basketball games. We weren't all that interested in the outdoors. However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids. Simon and I were sure we'd rather be back home playing video games. Now we were in a state park, marching through woods as thick as a grizzly bear's fur. Our group of 12 kids had been hiking for a good 30 minutes when Simon and I grew bored and stepped away from the group to take some pictures. I looked around, shouting, ""Check out that tree — it's kinda cool. Doesn't its shape remind you of an elephant?"" ""Ha! It does,"" Simon replied. ""And look at how those rocks are formed over there. You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before. The more we opened up to the forest, the more it opened up to us. We were beginning to see the amazing things around us. Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be.","Now we were in a state park, marching through woods as 33 ______as a grizzly bear's fur.","Now we were in a state park, marching through woods as thickas a grizzly bear's fur."
09B13D,Going on a hike,34,review,remember,reflect,remind,"Simon and I were in a school football team. Occasionally, the team took field trips to places outside of our neighbourhood on the weekends. Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park. Simon is my best friend, and the two of us had both liked the trips to the museums, plays, and basketball games. We weren't all that interested in the outdoors. However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids. Simon and I were sure we'd rather be back home playing video games. Now we were in a state park, marching through woods as thick as a grizzly bear's fur. Our group of 12 kids had been hiking for a good 30 minutes when Simon and I grew bored and stepped away from the group to take some pictures. I looked around, shouting, ""Check out that tree — it's kinda cool. Doesn't its shape remind you of an elephant?"" ""Ha! It does,"" Simon replied. ""And look at how those rocks are formed over there. You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before. The more we opened up to the forest, the more it opened up to us. We were beginning to see the amazing things around us. Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be.","Doesn't its shape 34 ______ you of an elephant?"" ""Ha!","Doesn't its shape remind you of an elephant?"" ""Ha!"
09B13D,Going on a hike,35,obtaining,offending,objecting,observing,"Simon and I were in a school football team. Occasionally, the team took field trips to places outside of our neighbourhood on the weekends. Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park. Simon is my best friend, and the two of us had both liked the trips to the museums, plays, and basketball games. We weren't all that interested in the outdoors. However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids. Simon and I were sure we'd rather be back home playing video games. Now we were in a state park, marching through woods as thick as a grizzly bear's fur. Our group of 12 kids had been hiking for a good 30 minutes when Simon and I grew bored and stepped away from the group to take some pictures. I looked around, shouting, ""Check out that tree — it's kinda cool. Doesn't its shape remind you of an elephant?"" ""Ha! It does,"" Simon replied. ""And look at how those rocks are formed over there. You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before. The more we opened up to the forest, the more it opened up to us. We were beginning to see the amazing things around us. Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be.","You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in 35 ______ flowers, leaves, animals, and little caves we hadn't seen before.","You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before."
09B13D,Going on a hike,36,talked,spoke,said,told,"Simon and I were in a school football team. Occasionally, the team took field trips to places outside of our neighbourhood on the weekends. Last week, our coach Mr Brown announced we were going on a hike through a forest in a state park. Simon is my best friend, and the two of us had both liked the trips to the museums, plays, and basketball games. We weren't all that interested in the outdoors. However, Mr Brown claimed that we'd really enjoy discovering how amazing nature can be—especially for the big city kids. Simon and I were sure we'd rather be back home playing video games. Now we were in a state park, marching through woods as thick as a grizzly bear's fur. Our group of 12 kids had been hiking for a good 30 minutes when Simon and I grew bored and stepped away from the group to take some pictures. I looked around, shouting, ""Check out that tree — it's kinda cool. Doesn't its shape remind you of an elephant?"" ""Ha! It does,"" Simon replied. ""And look at how those rocks are formed over there. You don't see stuff like that in the city, now do you?"" For the next few minutes, we got caught up in observing flowers, leaves, animals, and little caves we hadn't seen before. The more we opened up to the forest, the more it opened up to us. We were beginning to see the amazing things around us. Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be.","Out here, away from the city, I was starting to get what Mr Brown had 36 ______ us about how wonderful nature could be.","Out here, away from the city, I was starting to get what Mr Brown had told us about how wonderful nature could be."
0EAA8F,Olivia,32,kept,held,used,formed,"I never took Olivia to the theatre, but it was there I met her. I formed the habit now of going every Saturday night, usually alone, sometimes with George. It was George who introduced me to Olivia Nelson. She was an only child whose father, a cotton merchant, had died and left her all he had. She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once. Olivia got interested when George said that I was a novelist. Novelists were not too common in Cornwell then, though I believe they are now as numerous as knights. Olivia adored famous people. She was delighted to meet me. It turned out that Olivia had read my books, at least some of them and she liked them. She could talk intelligently about them. She praised them and criticized them with a good deal of common sense. She discussed new plays and new books with me. She developed a habit of being wherever I was to be found. We had a few meals together at restaurants, and I discovered that I was dressing with unusual care. She was so excited and happy, so full of good conversation, that I was charmed and captivated by her company. But I couldn't help thinking that something was wrong. There was no reason to think the worst. However, I couldn't make myself propose to her.","I 32 ______ the habit now of going every Saturday night, usually alone, sometimes with George.","I formed the habit now of going every Saturday night, usually alone, sometimes with George."
0EAA8F,Olivia,33,called,greeted,met,introduced,"I never took Olivia to the theatre, but it was there I met her. I formed the habit now of going every Saturday night, usually alone, sometimes with George. It was George who introduced me to Olivia Nelson. She was an only child whose father, a cotton merchant, had died and left her all he had. She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once. Olivia got interested when George said that I was a novelist. Novelists were not too common in Cornwell then, though I believe they are now as numerous as knights. Olivia adored famous people. She was delighted to meet me. It turned out that Olivia had read my books, at least some of them and she liked them. She could talk intelligently about them. She praised them and criticized them with a good deal of common sense. She discussed new plays and new books with me. She developed a habit of being wherever I was to be found. We had a few meals together at restaurants, and I discovered that I was dressing with unusual care. She was so excited and happy, so full of good conversation, that I was charmed and captivated by her company. But I couldn't help thinking that something was wrong. There was no reason to think the worst. However, I couldn't make myself propose to her.",It was George who 33 ______ me to Olivia Nelson.,It was George who introduced me to Olivia Nelson.
0EAA8F,Olivia,34,involved,appealed,engaged,attracted,"I never took Olivia to the theatre, but it was there I met her. I formed the habit now of going every Saturday night, usually alone, sometimes with George. It was George who introduced me to Olivia Nelson. She was an only child whose father, a cotton merchant, had died and left her all he had. She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once. Olivia got interested when George said that I was a novelist. Novelists were not too common in Cornwell then, though I believe they are now as numerous as knights. Olivia adored famous people. She was delighted to meet me. It turned out that Olivia had read my books, at least some of them and she liked them. She could talk intelligently about them. She praised them and criticized them with a good deal of common sense. She discussed new plays and new books with me. She developed a habit of being wherever I was to be found. We had a few meals together at restaurants, and I discovered that I was dressing with unusual care. She was so excited and happy, so full of good conversation, that I was charmed and captivated by her company. But I couldn't help thinking that something was wrong. There was no reason to think the worst. However, I couldn't make myself propose to her.","She was not very beautiful but she was tall, very graceful, smartly dressed and 34 ______ me at once.","She was not very beautiful but she was tall, very graceful, smartly dressed and attracted me at once."
