kod,title,task_id,distractor_1,distractor_2,distractor_3,target
09B13D,Going on a hike,30,promoted,extended,presented,announced
09B13D,Going on a hike,31,delighted,inspired,excited,interested
09B13D,Going on a hike,32,Moreover,Although,Otherwise,However
09B13D,Going on a hike,33,heavy,strong,rich,thick
09B13D,Going on a hike,34,review,remember,reflect,remind
09B13D,Going on a hike,35,obtaining,offending,objecting,observing
09B13D,Going on a hike,36,talked,spoke,said,told
0EAA8F,Olivia,32,kept,held,used,formed
0EAA8F,Olivia,33,called,greeted,met,introduced
0EAA8F,Olivia,34,involved,appealed,engaged,attracted
0EAA8F,Olivia,35,up,down,on,out
0EAA8F,Olivia,36,tell,discuss,say,talk
0EAA8F,Olivia,37,determined,revealed,disclosed,discovered
0EAA8F,Olivia,38,matter,account,cause,reason
15e618,Daphne,30,resembled,received,reviewed,recognised
15e618,Daphne,31,visualise,invent,expect,imagine
15e618,Daphne,32,travel,voyage,journey,tour
15e618,Daphne,33,problem,fault,worry,trouble
15e618,Daphne,34,succeeded,fulfilled,completed,managed
15e618,Daphne,35,approve,arrange,allow,afford
15e618,Daphne,36,arrange,provide,continue,maintain
1B7697,My second visit,32,cheerful,forgetful,doubtful,careful
1B7697,My second visit,33,recovered,reviewed,remembered,reminded
1B7697,My second visit,34,expecting,delaying,pausing,waiting
1B7697,My second visit,35,viewed,watched,looked,saw
1B7697,My second visit,36,inclined,influenced,inspired,impressed
1B7697,My second visit,37,suggest,submit,supervise,suppose
1B7697,My second visit,38,end,fall,sink,drop
204265,Michaels holidays,32,to,in,at,on
204265,Michaels holidays,33,affection,connection,relation,attention
204265,Michaels holidays,34,considerably,completely,perfectly,definitely
204265,Michaels holidays,35,demand,escape,concern,bother
204265,Michaels holidays,36,turns,gives,takes,makes
204265,Michaels holidays,37,Although,Moreover,Otherwise,Nevertheless
204265,Michaels holidays,38,talked,spoke,said,told
207FE9,A visit,32,on,in,of,off
207FE9,A visit,33,watched,looked,glanced,seen
207FE9,A visit,34,took,carried,passed,brought
207FE9,A visit,35,satisfy,please,prefer,enjoy
207FE9,A visit,36,thought,notice,brain,mind
207FE9,A visit,37,spot,dot,step,point
207FE9,A visit,38,manage,achieve,fulfil,succeed
1234,Memories,32,stared,watched,saw,lookes
1234,Memories,33,nearly,rarely,merely,hardly
1234,Memories,34,at,of,in,on
1234,Memories,35,grow,bring,clear,cheer
1234,Memories,36,revised,recalled,remembered,reminded
1234,Memories,37,arrangement,argument,achievement,agreement
1234,Memories,38,Nevertheless,Although,However,Moreover
1112,Mr. Thoreau in Concord,32,achieve,arrive,enter,reach
1112,Mr. Thoreau in Concord,33,However,Although,Moreover,Therefore
1112,Mr. Thoreau in Concord,34,fond,crazy,eager,keen
1112,Mr. Thoreau in Concord,35,say,speak,talk,say
1112,Mr. Thoreau in Concord,36,take,keep,gain,make
1112,Mr. Thoreau in Concord,37,attached,attended,connected,accompanied
1112,Mr. Thoreau in Concord,38,against,outside,besides,instead
28EF4E,Emily,30,off,in,on,up
28EF4E,Emily,31,say,speak,talk,tell
28EF4E,Emily,32,merely,rarely,nearly,hardly
28EF4E,Emily,33,timed,governed,tested,occupied
28EF4E,Emily,34,review,remind,revise,remember
28EF4E,Emily,35,wandered,considered,regarded,wondered
28EF4E,Emily,36,pleased,amused,satisfied,enjoyed
3759BA,A girl from Uganda,30,supplied,suspected,succeeded,supposed
3759BA,A girl from Uganda,31,say,talk,speak,tell
3759BA,A girl from Uganda,32,approved,admitted,afforded,allowed
3759BA,A girl from Uganda,33,Despite,Otherwise,Likewise,However
3759BA,A girl from Uganda,34,reservation,admiration,appreciation,determination
3759BA,A girl from Uganda,35,abandoned,controversial,sympathetic,entusiastic
3759BA,A girl from Uganda,36,involved,intended,impressed,inspired
3AA36E,The effect of the temperature,32,huge,high,big,long
3AA36E,The effect of the temperature,33,amuse,enjoy,prefer,please
3AA36E,The effect of the temperature,34,in,from,for,on
3AA36E,The effect of the temperature,35,observed,watched,glanced,looked
3AA36E,The effect of the temperature,36,Moreover,Therefore,However,Although
3AA36E,The effect of the temperature,37,fulfilled,managed,achieved,succeeded
3AA36E,The effect of the temperature,38,stay,gain,hold,keep
42247C,A day in Chicago,32,achieved,succeeded,completed,managed
42247C,A day in Chicago,33,reflecting,recovering,restoring,reciting
42247C,A day in Chicago,34,amused,confused,attractive,enthusiastic
42247C,A day in Chicago,35,spoke,told,talked,said
42247C,A day in Chicago,36,quantity,capacity,volume,number
42247C,A day in Chicago,37,got,went,held,came
42247C,A day in Chicago,38,Although,Therefore,Moreover,Nevertheless
46Dc86,Sheila,30,path,trail,track,way
46Dc86,Sheila,31,recorded,remained,received,required
46Dc86,Sheila,32,approved,accepted,admitted,admired
46Dc86,Sheila,33,join,enlist,enroll,enter
46Dc86,Sheila,34,moreover,therefore,otherwise,although
