target_unit,target_head,correct_element,lexical_category,subcategory,source_target,error_variant,error_type,learner_sentence,correct_sentence,comment,source_error
at 6 o’clock,at 6 o’clock,at ,prepositions,time_of_day,statistics,in,preposition_error,I usually wake up in 6 o’clock because my lessons start early.,I usually wake up at 6 o’clock because my lessons start early.,Типичная ошибка: перенос русской модели времени с неверным выбором предлога.,REALEC
at 6 o’clock,at 6 o’clock,at ,prepositions,time_of_day,statistics,on,preposition_error,"The meeting started on 6 o’clock, but several students were late.","The meeting started at 6 o’clock, but several students were late.",Неверный выбор предлога с точным временем.,REALEC
 at night, at night,at ,prepositions,time_of_day,statistics,in,preposition_error,I prefer studying in night because it is quiet and nobody disturbs me.,I prefer studying at night because it is quiet and nobody disturbs me.,Типичная ошибка: перенос русской модели «ночью» как in night,REALEC
 at night, at night,at ,prepositions,time_of_day,statistics,on,preposition_error,I do not like walking alone on night because the streets are empty.,I do not like walking alone at night because the streets are empty.,Неверный выбор предлога времени,REALEC
at lunchtime,at lunchtime,at ,prepositions,time_of_day,statistics,in,preposition_error,I usually meet my friends in lunchtime near the school cafeteria.,I usually meet my friends at lunchtime near the school cafeteria.,Типичная ошибка: неверный выбор предлога для обозначения времени приёма пищи.,REALEC
at lunchtime,at lunchtime,at ,prepositions,time_of_day,statistics,on,preposition_error,We usually discuss our plans during lunchtime.,We usually discuss our plans on lunchtime.,"Ошибка выбора предлога: during возможно в некоторых контекстах, но в модели из справочника проверяется сочетание at lunchtime.",REALEC
at sunset,at sunset,at,prepositions,time_of_day,statistics,in,preposition_error,We arrived at the beach in sunset and took many beautiful photos.,We arrived at the beach at sunset and took many beautiful photos.,Типичная ошибка: неверный выбор предлога для обозначения конкретного момента времени.,REALEC
at sunset,at sunset,at,prepositions,time_of_day,statistics,on,preposition_error,We like walking in the park on sunset when the air is cooler.,We like walking in the park at sunset when the air is cooler.,Неверный выбор предлога времени.,REALEC
at the weekend,at the weekend,at ,prepositions,fixed_time_expression,statistics,in,preposition_error,I usually visit my grandparents in the weekend because I have more free time.,I usually visit my grandparents at the weekend because I have more free time.,Типичная ошибка: неверный выбор предлога в устойчивом выражении времени,REALEC
at the weekend,at the weekend,at ,prepositions,fixed_time_expression,statistics,on,preposition_error,We often go shopping on the weekend with my family.,We often go shopping at the weekend with my family.,"Возможный дистрактор: on the weekend встречается в AmE, но в модели справочника проверяется BrE-вариант at the weekend.",REALEC
 at Christmas, at Christmas,at ,prepositions,fixed_time_expression,statistics,in,preposition_error,My family usually visits our relatives in Christmas.,My family usually visits our relatives at Christmas.,Типичная ошибка: неверный выбор предлога для обозначения праздничного периода.,REALEC
 at Christmas, at Christmas,at ,prepositions,fixed_time_expression,statistics,on,preposition_error,We always decorate the house on Christmas.,We always decorate the house at Christmas.,"Возможный дистрактор: on Christmas Day грамматически возможно, но в модели справочника проверяется выражение at Christmas.",REALEC
at the moment,at the moment,at ,prepositions,fixed_time_expression,statistics,in,preposition_error,I am very busy in the moment because I have many exams.,I am very busy at the moment because I have many exams.,Типичная ошибка: перенос русской модели «в данный момент» как in the moment.,REALEC
at the moment,at the moment,at ,prepositions,fixed_time_expression,statistics,on,preposition_error,She cannot answer the phone on the moment because she is driving.,She cannot answer the phone at the moment because she is driving.,Неверный выбор предлога в устойчивом выражении времени.,REALEC
at first,at first,at ,prepositions,fixed_time_expression,statistics,in,preposition_error,"In first, I did not understand the task, but then it became easier.","At first, I did not understand the task, but then it became easier.",Типичная ошибка: перенос русской модели «сначала» с неверным выбором предлога.,REALEC
at first,at first,at ,prepositions,fixed_time_expression,statistics,from,preposition_error,"From first, I thought that the exam would be very difficult.","At first, I thought that the exam would be very difficult.",Неверный выбор предлога в устойчивом выражении.,REALEC
at the same time,at the same time,at ,prepositions,fixed_time_expression,statistics,in ,preposition_error,"In the same time, many students try to prepare for several exams.","At the same time, many students try to prepare for several exams.",Типичная ошибка: перенос русской модели «в то же время» как in the same time.,REALEC
at the same time,at the same time,at ,prepositions,fixed_time_expression,statistics,on,preposition_error,"On the same time, people should not forget about their health.","At the same time, people should not forget about their health.",Ошибка выбора предлога: смешение с выражением during this time.,REALEC
